Documento,Sub_Modalidade,TemEadSN,Transportador,CidadeEntrega,PrazoCd,LevePesadoLiquido,PrazoTransporte,SinalizacaoDePendencia,Canal_de_Entrega,Carga_Promessa,SLA_Cliente,PromessaIntegracao,ExpedicaoIntegracao,PrometidaExpedicao,DiaPromessa,Tempo_Insucesso,Insucessos,Tempo_Transferencia,Transferencias,Dias_Atraso,Tempo_RotaDeEntrega,TentativasDeEntrega
2757886740,Direta D0,S,IQVELO LOG,FLORIANOPOLIS  ,4,LEVE,0,S,CD ONLINE,0,No Prazo,51,35,16,6,null,null,2,1,null,0,1
2766409270,Direta Viagem,N,JEV TRANSPORTES LTDA,ARARANGUA      ,9,PESADO,1,N,CD ONLINE,0,No Prazo,12,11,1,3,null,null,null,null,null,0,1
2766863030,Direta Viagem,N,VPLOG SERVICOS E TRANSPORTES,CHAPECO        ,2,LEVE,1,N,CD ONLINE,0,No Prazo,3,2,1,3,null,null,null,null,null,0,1
2767091111,Direta D0,N,IQVELO LOG,PALHOCA        ,3,PESADO,0,N,CD LOJAS FISICAS,0,Fora do Prazo,3,3,0,3,null,null,null,null,null,0,1
2767492500,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,PENHA          ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,2,0,4,null,null,null,null,null,0,1
2767586930,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,NAVEGANTES     ,4,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,4,4,0,6,null,null,null,null,null,0,1
2767627600,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,2,0,4,null,null,null,null,null,0,1
2767663171,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,2,0,4,null,null,null,null,null,0,1
2767685180,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BRUSQUE        ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,3,0,5,null,null,null,null,null,0,1
2767711730,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BRUSQUE        ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,3,0,5,null,null,null,null,null,0,1
2767882280,Direta D0,S,IQVELO LOG,SAO JOSE       ,3,PESADO,0,N,CD ONLINE,0,No Prazo,3,3,0,5,null,null,1,1,null,0,1
2768046540,Direta Viagem,N,JEV TRANSPORTES LTDA,LAGUNA         ,2,PESADO,1,N,CD ONLINE,0,No Prazo,2,1,1,5,null,null,null,null,null,0,1
2768313220,Direta Viagem,N,VPLOG SERVICOS E TRANSPORTES,CHAPECO        ,8,PESADO,1,N,CD ONLINE,0,No Prazo,9,6,3,5,null,null,null,null,null,0,1
2768530870,Direta D0,N,IQVELO LOG,FLORIANOPOLIS  ,1,PESADO,0,N,CD ONLINE,0,No Prazo,1,1,0,5,null,null,null,null,null,0,1
2769016700,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,2,0,7,null,null,null,null,null,0,1
2769210860,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,1,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,1,1,0,6,null,null,null,null,null,0,1
2769728730,Direta D0,S,IQVELO LOG,FLORIANOPOLIS  ,7,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,7,7,0,6,null,null,5,1,null,0,1
2769775270,Direta Viagem,N,JEV TRANSPORTES LTDA,CRICIUMA       ,3,LEVE,1,N,CD ONLINE,0,No Prazo,4,3,1,4,null,null,null,null,null,0,1
2770481500,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,RODEIO         ,15,PESADO,0,N,CD ONLINE,0,No Prazo,18,18,0,5,null,null,15,1,null,0,1
2771280040,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,ITAJAI         ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,3,0,7,null,null,1,1,null,0,1
2771581810,Direta D0,N,IQVELO LOG,SAO JOSE       ,2,PESADO,0,N,CD ONLINE,0,No Prazo,2,2,0,6,null,null,null,null,null,0,1
2771764991,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,4,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,9,9,0,7,2,1,1,1,null,0,2
2771935450,Direta D0,N,IQVELO LOG,FLORIANOPOLIS  ,4,PESADO,0,N,CD ONLINE,0,No Prazo,5,4,1,4,null,null,null,null,null,0,1
2772179900,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,ITAJAI         ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,1,2,2,null,null,null,null,null,0,1
2772294100,Direta D0,N,IQVELO LOG,FLORIANOPOLIS  ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,0,2,2,null,null,null,null,null,0,1
2772581730,Direta Viagem,N,VPLOG SERVICOS E TRANSPORTES,SUL BRASIL     ,18,LEVE,14,N,CD ONLINE,0,No Prazo,21,5,16,7,null,null,null,null,null,0,1
2772822550,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,BALN. PICARRAS ,4,LEVE,0,N,CD ONLINE,0,No Prazo,4,4,0,6,null,null,2,1,null,0,1
2772993870,Direta D0,N,IQVELO LOG,FLORIANOPOLIS  ,1,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,1,1,0,3,null,null,null,null,null,0,1
2773003620,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BRUSQUE        ,1,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,1,1,0,3,null,null,null,null,null,0,1
2773211770,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,MASSARANDUBA   ,3,PESADO,0,N,CD ONLINE,0,No Prazo,3,3,0,6,null,null,null,null,null,0,1
2773813130,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,ITAJAI         ,1,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,1,1,0,6,null,null,null,null,null,0,1
2774322860,Direta Viagem,N,JEV TRANSPORTES LTDA,GAROPABA       ,6,PESADO,1,N,CD ONLINE,0,No Prazo,7,6,1,6,null,null,null,null,null,0,1
2774390851,Direta D0,S,IQVELO LOG,FLORIANOPOLIS  ,5,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,5,5,0,5,null,null,2,2,null,0,1
2774622340,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,GUABIRUBA      ,2,PESADO,0,N,CD ONLINE,0,No Prazo,3,3,0,3,null,null,null,null,null,0,1
2774627050,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,7,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,7,7,0,7,null,null,null,null,null,0,1
