Data;Filial;producao
01/01/2021;POA;632
02/01/2021;BHZ;16
02/01/2021;CGB;2282
02/01/2021;CGR;1888
02/01/2021;RIO;4780
02/01/2021;MAO;399
02/01/2021;REC;2716
02/01/2021;SSA;4149
02/01/2021;TECA;38949
02/01/2021;VIX;3957
03/01/2021;BHZ;3063
03/01/2021;CGB;75
03/01/2021;RIO;4335
03/01/2021;POA;5906
03/01/2021;SSA;1233
03/01/2021;TECA;7933
04/01/2021;BHZ;9905
04/01/2021;BSB;2495
04/01/2021;CGB;5405
04/01/2021;CGR;1062
04/01/2021;FOR;2275
04/01/2021;RIO;4953
04/01/2021;MAO;651
04/01/2021;POA;5135
04/01/2021;REC;4960
04/01/2021;SSA;5585
04/01/2021;TECA;39599
04/01/2021;VIX;3403
05/01/2021;BHZ;11807
05/01/2021;BSB;1883
05/01/2021;CGB;1552
05/01/2021;CGR;914
05/01/2021;FOR;3374
05/01/2021;RIO;14874
05/01/2021;MAO;922
05/01/2021;POA;7644
05/01/2021;REC;5231
05/01/2021;SSA;4782
05/01/2021;TECA;76550
05/01/2021;VIX;6416
06/01/2021;BHZ;13321
06/01/2021;BSB;2293
06/01/2021;CGB;116
06/01/2021;CGR;195
06/01/2021;FOR;774
06/01/2021;RIO;21978
06/01/2021;MAO;977
06/01/2021;POA;10388
06/01/2021;REC;2128
06/01/2021;SSA;3855
06/01/2021;TECA;107076
06/01/2021;VIX;8149
07/01/2021;BHZ;14530
07/01/2021;BSB;2960
07/01/2021;CGB;2304
07/01/2021;CGR;293
07/01/2021;FOR;873
07/01/2021;RIO;22854
07/01/2021;MAO;1446
07/01/2021;POA;6742
07/01/2021;REC;3692
07/01/2021;SSA;4666
07/01/2021;TECA;105204
07/01/2021;VIX;8416
08/01/2021;BHZ;12440
08/01/2021;BSB;2909
08/01/2021;CGB;3750
08/01/2021;CGR;1430
08/01/2021;FOR;1107
08/01/2021;RIO;17076
08/01/2021;MAO;1177
08/01/2021;POA;11365
08/01/2021;REC;3587
08/01/2021;SSA;3182
08/01/2021;TECA;101588
08/01/2021;VIX;8359
09/01/2021;BHZ;3922
09/01/2021;BSB;2599
09/01/2021;CGB;2231
09/01/2021;CGR;1865
09/01/2021;FOR;96
09/01/2021;RIO;18254
09/01/2021;MAO;424
09/01/2021;POA;7414
09/01/2021;REC;2885
09/01/2021;SSA;5126
09/01/2021;TECA;84184
09/01/2021;VIX;3600
10/01/2021;BHZ;3254
10/01/2021;RIO;4176
10/01/2021;POA;3964
10/01/2021;REC;371
10/01/2021;SSA;1790
10/01/2021;TECA;15838
10/01/2021;VIX;4171
11/01/2021;BHZ;12350
11/01/2021;BSB;2741
11/01/2021;CGB;5836
11/01/2021;CGR;2400
11/01/2021;FOR;2046
11/01/2021;RIO;11970
11/01/2021;MAO;627
11/01/2021;POA;9449
11/01/2021;REC;6960
11/01/2021;SSA;8433
11/01/2021;TECA;38095
11/01/2021;VIX;3969
12/01/2021;BHZ;12771
12/01/2021;BSB;2415
12/01/2021;CGB;5298
12/01/2021;CGR;752
12/01/2021;FOR;2439
12/01/2021;RIO;21135
12/01/2021;MAO;421
12/01/2021;POA;10266
12/01/2021;REC;8968
12/01/2021;SSA;6229
12/01/2021;TECA;94575
12/01/2021;VIX;7370
13/01/2021;BHZ;15549
13/01/2021;BSB;3105
13/01/2021;CGB;143
13/01/2021;CGR;1108
13/01/2021;FOR;3274
13/01/2021;RIO;22515
13/01/2021;MAO;690
13/01/2021;POA;8088
13/01/2021;REC;6762
13/01/2021;SSA;4587
13/01/2021;TECA;98987
13/01/2021;VIX;12690
14/01/2021;BHZ;15371
14/01/2021;BSB;3447
14/01/2021;CGB;4223
14/01/2021;CGR;2039
14/01/2021;FOR;916
14/01/2021;RIO;25452
14/01/2021;MAO;145
14/01/2021;POA;9849
14/01/2021;REC;7461
14/01/2021;SSA;5444
14/01/2021;TECA;102121
14/01/2021;VIX;8314
15/01/2021;BHZ;13952
15/01/2021;BSB;3634
15/01/2021;CGB;229
15/01/2021;CGR;1599
15/01/2021;FOR;1778
15/01/2021;RIO;23344
15/01/2021;MAO;730
15/01/2021;POA;12727
15/01/2021;REC;4517
15/01/2021;SSA;7220
15/01/2021;TECA;112575
