Documento;DatadoTracking;DescricaoDoTracking;Insucesso
2757515051;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761249611;17/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2757876421;04/04/2025;PERDA LOGISTICA;Pendencia
2761223871;25/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2758733611;17/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2759646241;03/05/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2762154541;16/04/2025;PERDA LOGISTICA;Pendencia
2757539241;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758297401;14/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2757574721;03/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2758265651;09/04/2025;DIFICULDADES NA REGIAO DE ENTREGA;Transporte
2760034811;22/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2762027571;25/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2762878501;24/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2755480161;02/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2757569041;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2759987441;28/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2760634861;14/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2763408041;23/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2757562261;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758767631;07/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2761555151;03/05/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2762147781;15/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2759517311;10/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2757453851;03/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757158371;02/04/2025;REABERTURA POR BAIXA INDEVIDA;Transporte
2742814141;07/04/2025;ATRASO NA ENTREGA DE 4 DIAS;Transporte
2756748151;01/04/2025;ENTREGA COM DATA ESPECIAL - NAO CARREGOU;Cliente
2756371041;03/04/2025;PERDA LOGISTICA;Pendencia
2759740961;15/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2760230531;11/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2761798401;26/04/2025;INSUCESSO DE ENTREGA;Cliente
2755601801;04/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2760570121;10/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763882051;25/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2757536071;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2729852081;11/03/2025;MERCADORIA PENDENTE;Pendencia
2757410731;11/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2760110931;09/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762103001;23/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2763748061;28/04/2025;CLIENTE MUDOU DE ENDERECO;Cliente
2744179631;02/04/2025;ATRASO NA ENTREGA DE 4 DIAS;Transporte
2760881711;14/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2762025501;22/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2762279911;21/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2753987481;09/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2759906731;15/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2758128601;04/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2755981551;04/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2758239061;07/04/2025;NUMERO NAO LOCALIZADO;Cliente
2759020991;14/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2755877281;06/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761197201;17/04/2025;PERDA LOGISTICA;Pendencia
2756482961;11/04/2025;EXCESSO DE CHUVAS;Transporte
2760815781;14/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2757489242;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764541321;28/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2758872911;09/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2760023131;22/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2763561281;29/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2763667951;30/04/2025;ENTREGA COM DATA ESPECIAL;Cliente
2763324551;23/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2757486491;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764707771;30/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2761838041;30/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2764666751;25/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758549101;05/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2757530901;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2760761441;14/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2758559061;04/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2756792011;22/04/2025;BARRAR ENTREGA;Cliente
2757354621;08/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2758465741;04/04/2025;PERDA LOGISTICA;Pendencia
2756446621;13/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2757699271;05/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2758954701;07/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2761758911;16/04/2025;DESTINATARIO AUSENTE NA PRIMEIRA TENTATIVA;Cliente
2757790601;14/04/2025;DESTINATARIO AUSENTE NA SEGUNDA TENTATIVA;Cliente
2758778461;10/04/2025;NUMERO NAO LOCALIZADO;Cliente
2763371291;25/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2764079271;23/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764194081;28/04/2025;FORA DE ITINERARIO;Transporte
2759914821;09/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757016511;09/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2760963861;29/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2763739911;29/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2763391121;21/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760388731;10/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761630401;16/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760809131;11/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763244331;20/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763792401;24/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761964241;15/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2756858561;30/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763731331;22/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760698331;11/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764003851;23/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761359271;13/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759368001;22/04/2025;INSUCESSO DE ENTREGA;Cliente
2763692131;23/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761778691;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761819622;14/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763773432;22/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760878351;11/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2746404621;29/04/2025;BARRAR ENTREGA;Cliente
2759713391;08/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763899971;24/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2758583081;06/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758316521;14/04/2025;INSUCESSO DE ENTREGA;Cliente
2757392361;01/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758968831;07/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759724901;08/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761150591;12/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762245091;16/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758988161;06/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762123621;16/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2765070871;27/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2756886781;30/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758575191;06/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759695961;08/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
